output_file,policy_id,accuracy
test_policy.json,    "policy": {,}
ArccaGAFunctions.py,from ARCCAPythonTool import ArccaTool,results:
PsoAugment.py,,print(technique)
create_thresholded_policy.py,import os,f:
output_check.py,,f:
genetic_augment_math_analysis.py,import numpy as np,f.write("\n".join(results_rows))
output-3668025.o,policy_id: tabu_AutoAugmentBasedPopulation_exp_0001_120e_100ls_25-2_00000_00051,0.8487
output-2887618.o,policy_id: AutoAugmentBasedPopulation_exp_0002_120e_10p_25-2_00001_00002,0.8476
output-2880103.o,policy_id: AutoAugmentBasedPopulation_exp_0002_120e_10p_25-2_00005_00000,0.8475
output-3666870.o,policy_id: tabu_AutoAugmentBasedPopulation_exp_0001_120e_100ls_25-2_00000_00046,0.8471
output-2885600.o,policy_id: AutoAugmentBasedPopulation_exp_0002_120e_10p_25-2_00000_00001,0.847
output-2885966.o,policy_id: AutoAugmentBasedPopulation_exp_0002_120e_10p_25-2_00000_00006,0.8469
output-2886744.o,policy_id: AutoAugmentBasedPopulation_exp_0002_120e_10p_25-2_00001_00008,0.8468
output-3666919.o,policy_id: tabu_AutoAugmentBasedPopulation_exp_0001_120e_100ls_25-2_00000_00055,0.8467
output-3660519.o,policy_id: tabu_AutoAugmentBasedPopulation_exp_0001_120e_100ls_25-2_00000_00032,0.8466
output-3654163.o,policy_id: tabu_AutoAugmentBasedPopulation_exp_0001_120e_100ls_25-2_00000_00022,0.8465
output-3654165.o,policy_id: tabu_AutoAugmentBasedPopulation_exp_0001_120e_100ls_25-2_00000_00024,0.8464
output-3656625.o,policy_id: tabu_AutoAugmentBasedPopulation_exp_0001_120e_100ls_25-2_00000_00020,0.8464
output-3663926.o,policy_id: tabu_AutoAugmentBasedPopulation_exp_0001_120e_100ls_25-2_00000_00043,0.8458
output-2885302.o,policy_id: AutoAugmentBasedPopulation_exp_0002_120e_10p_25-2_00000_00006,0.8457
output-2887625.o,policy_id: AutoAugmentBasedPopulation_exp_0002_120e_10p_25-2_00001_00009,0.8456
output-3653186.o,policy_id: tabu_AutoAugmentBasedPopulation_exp_0001_120e_100ls_25-2_00000_00020,0.8452
output-2884334.o,policy_id: AutoAugmentBasedPopulation_exp_0002_120e_10p_25-2_00000_00007,0.8451
output-2882197.o,policy_id: AutoAugmentBasedPopulation_exp_0002_120e_10p_25-2_00008_00002,0.8449
output-3668029.o,policy_id: tabu_AutoAugmentBasedPopulation_exp_0001_120e_100ls_25-2_00000_00055,0.8449
output-3637852.o,policy_id: tabu_AutoAugmentBasedPopulation_exp_0001_120e_100ls_25-2_00000_00019,0.8447
output-3666866.o,policy_id: tabu_AutoAugmentBasedPopulation_exp_0001_120e_100ls_25-2_00000_00042,0.8447
output-3634554.o,policy_id: tabu_AutoAugmentBasedPopulation_exp_0001_120e_100ls_25-2_00000_00004,0.8447
output-3660525.o,policy_id: tabu_AutoAugmentBasedPopulation_exp_0001_120e_100ls_25-2_00000_00038,0.8446
output-2874503.o,policy_id: AutoAugmentBasedPopulation_exp_0002_120e_10p_25-2_00000_00002,0.8444
output-3634521.o,policy_id: tabu_AutoAugmentBasedPopulation_exp_0001_120e_100ls_25-2_00000_00002,0.8444
output-3654161.o,policy_id: tabu_AutoAugmentBasedPopulation_exp_0001_120e_100ls_25-2_00000_00020,0.8444
output-3663930.o,policy_id: tabu_AutoAugmentBasedPopulation_exp_0001_120e_100ls_25-2_00000_00046,0.8443
output-3663925.o,policy_id: tabu_AutoAugmentBasedPopulation_exp_0001_120e_100ls_25-2_00000_00042,0.8442
output-2877437.o,policy_id: AutoAugmentBasedPopulation_exp_0002_120e_10p_25-2_00003_00002,0.8442
output-3645972.o,policy_id: tabu_AutoAugmentBasedPopulation_exp_0001_120e_100ls_25-2_00000_00014,0.8442
output-3658583.o,policy_id: tabu_AutoAugmentBasedPopulation_exp_0001_120e_100ls_25-2_00000_00039,0.8442
output-2880545.o,policy_id: AutoAugmentBasedPopulation_exp_0002_120e_10p_25-2_00005_00004,0.8441
output-3653189.o,policy_id: tabu_AutoAugmentBasedPopulation_exp_0001_120e_100ls_25-2_00000_00023,0.844
output-2888571.o,policy_id: AutoAugmentBasedPopulation_exp_0002_120e_10p_25-2_00003_00009,0.844
output-2892366.o,policy_id: AutoAugmentBasedPopulation_exp_0002_120e_10p_25-2_00006_00006,0.8439
output-3662477.o,policy_id: tabu_AutoAugmentBasedPopulation_exp_0001_120e_100ls_25-2_00000_00030,0.8439
output-3645976.o,policy_id: tabu_AutoAugmentBasedPopulation_exp_0001_120e_100ls_25-2_00000_00018,0.8438
output-3666867.o,policy_id: tabu_AutoAugmentBasedPopulation_exp_0001_120e_100ls_25-2_00000_00043,0.8438
output-2876790.o,policy_id: AutoAugmentBasedPopulation_exp_0002_120e_10p_25-2_00002_00001,0.8437
output-3653188.o,policy_id: tabu_AutoAugmentBasedPopulation_exp_0001_120e_100ls_25-2_00000_00022,0.8437
output-3653070.o,policy_id: tabu_AutoAugmentBasedPopulation_exp_0001_120e_100ls_25-2_00000_00017,0.8437
output-3637851.o,policy_id: tabu_AutoAugmentBasedPopulation_exp_0001_120e_100ls_25-2_00000_00018,0.8437
output-2886997.o,policy_id: AutoAugmentBasedPopulation_exp_0002_120e_10p_25-2_00001_00000,0.8437
output-2886741.o,policy_id: AutoAugmentBasedPopulation_exp_0002_120e_10p_25-2_00001_00005,0.8436
output-2878448.o,policy_id: AutoAugmentBasedPopulation_exp_0002_120e_10p_25-2_00004_00001,0.8436
output-3653063.o,policy_id: tabu_AutoAugmentBasedPopulation_exp_0001_120e_100ls_25-2_00000_00010,0.8436
output-2887616.o,policy_id: AutoAugmentBasedPopulation_exp_0002_120e_10p_25-2_00001_00000,0.8435
output-3660518.o,policy_id: tabu_AutoAugmentBasedPopulation_exp_0001_120e_100ls_25-2_00000_00031,0.8435
output-2874129.o,policy_id: AutoAugmentBasedPopulation_exp_0002_120e_10p_25-2_00000_00005,0.8435
output-3634525.o,policy_id: tabu_AutoAugmentBasedPopulation_exp_0001_120e_100ls_25-2_00000_00006,0.8435
output-2881525.o,policy_id: AutoAugmentBasedPopulation_exp_0002_120e_10p_25-2_00007_00003,0.8435
output-3662481.o,policy_id: tabu_AutoAugmentBasedPopulation_exp_0001_120e_100ls_25-2_00000_00034,0.8434
output-2887001.o,policy_id: AutoAugmentBasedPopulation_exp_0002_120e_10p_25-2_00001_00004,0.8434
output-2888872.o,policy_id: AutoAugmentBasedPopulation_exp_0002_120e_10p_25-2_00004_00000,0.8433
output-3634519.o,policy_id: tabu_AutoAugmentBasedPopulation_exp_0001_120e_100ls_25-2_00000_00000,0.8433
output-3634509.o,policy_id: tabu_AutoAugmentBasedPopulation_exp_0001_120e_100ls_25-2_00000_00003,0.8432
output-3656629.o,policy_id: tabu_AutoAugmentBasedPopulation_exp_0001_120e_100ls_25-2_00000_00024,0.8432
output-3634508.o,policy_id: tabu_AutoAugmentBasedPopulation_exp_0001_120e_100ls_25-2_00000_00002,0.8432
output-2881237.o,policy_id: AutoAugmentBasedPopulation_exp_0002_120e_10p_25-2_00006_00005,0.8431
output-3662480.o,policy_id: tabu_AutoAugmentBasedPopulation_exp_0001_120e_100ls_25-2_00000_00033,0.8431
output-2874812.o,policy_id: AutoAugmentBasedPopulation_exp_0002_120e_10p_25-2_00000_00008,0.8431
output-3653192.o,policy_id: tabu_AutoAugmentBasedPopulation_exp_0001_120e_100ls_25-2_00000_00026,0.8431
output-3654168.o,policy_id: tabu_AutoAugmentBasedPopulation_exp_0001_120e_100ls_25-2_00000_00027,0.8431
output-2884603.o,policy_id: AutoAugmentBasedPopulation_exp_0002_120e_10p_25-2_00000_00009,0.8431
output-3634524.o,policy_id: tabu_AutoAugmentBasedPopulation_exp_0001_120e_100ls_25-2_00000_00005,0.843
output-3665549.o,policy_id: tabu_AutoAugmentBasedPopulation_exp_0001_120e_100ls_25-2_00000_00043,0.8429
output-3634556.o,policy_id: tabu_AutoAugmentBasedPopulation_exp_0001_120e_100ls_25-2_00000_00006,0.8428
output-2874804.o,policy_id: AutoAugmentBasedPopulation_exp_0002_120e_10p_25-2_00000_00000,0.8427
output-2882887.o,policy_id: AutoAugmentBasedPopulation_exp_0002_120e_10p_25-2_00009_00000,0.8427
output-3660524.o,policy_id: tabu_AutoAugmentBasedPopulation_exp_0001_120e_100ls_25-2_00000_00037,0.8427
output-2885296.o,policy_id: AutoAugmentBasedPopulation_exp_0002_120e_10p_25-2_00000_00000,0.8427
output-2874501.o,policy_id: AutoAugmentBasedPopulation_exp_0002_120e_10p_25-2_00000_00000,0.8426
output-3660517.o,policy_id: tabu_AutoAugmentBasedPopulation_exp_0001_120e_100ls_25-2_00000_00030,0.8426
output-3637849.o,policy_id: tabu_AutoAugmentBasedPopulation_exp_0001_120e_100ls_25-2_00000_00016,0.8426
output-2884096.o,policy_id: AutoAugmentBasedPopulation_exp_0002_120e_10p_25-2_00000_00007,0.8426
output-2881329.o,policy_id: AutoAugmentBasedPopulation_exp_0002_120e_10p_25-2_00006_00008,0.8425
output-2888657.o,policy_id: AutoAugmentBasedPopulation_exp_0002_120e_10p_25-2_00003_00009,0.8425
output-2892239.o,policy_id: AutoAugmentBasedPopulation_exp_0002_120e_10p_25-2_00006_00001,0.8425
output-2884095.o,policy_id: AutoAugmentBasedPopulation_exp_0002_120e_10p_25-2_00000_00006,0.8423
output-3653071.o,policy_id: tabu_AutoAugmentBasedPopulation_exp_0001_120e_100ls_25-2_00000_00018,0.8423
output-2888563.o,policy_id: AutoAugmentBasedPopulation_exp_0002_120e_10p_25-2_00003_00001,0.8423
output-2892436.o,policy_id: AutoAugmentBasedPopulation_exp_0002_120e_10p_25-2_00007_00002,0.8422
output-2892587.o,policy_id: AutoAugmentBasedPopulation_exp_0002_120e_10p_25-2_00008_00005,0.8422
output-3645977.o,policy_id: tabu_AutoAugmentBasedPopulation_exp_0001_120e_100ls_25-2_00000_00019,0.8421
output-2877440.o,policy_id: AutoAugmentBasedPopulation_exp_0002_120e_10p_25-2_00003_00005,0.8421
output-2877164.o,policy_id: AutoAugmentBasedPopulation_exp_0002_120e_10p_25-2_00003_00004,0.8421
output-2874118.o,policy_id: AutoAugmentBasedPopulation_exp_0002_120e_10p_25-2_00000_00000,0.842
output-3665546.o,policy_id: tabu_AutoAugmentBasedPopulation_exp_0001_120e_100ls_25-2_00000_00040,0.842
output-3645971.o,policy_id: tabu_AutoAugmentBasedPopulation_exp_0001_120e_100ls_25-2_00000_00013,0.842
output-3667660.o,policy_id: tabu_AutoAugmentBasedPopulation_exp_0001_120e_100ls_25-2_00000_00055,0.842
output-2876542.o,policy_id: AutoAugmentBasedPopulation_exp_0002_120e_10p_25-2_00002_00009,0.842
output-3634512.o,policy_id: tabu_AutoAugmentBasedPopulation_exp_0001_120e_100ls_25-2_00000_00006,0.842
output-2877713.o,policy_id: AutoAugmentBasedPopulation_exp_0002_120e_10p_25-2_00003_00002,0.842
output-2889283.o,policy_id: AutoAugmentBasedPopulation_exp_0002_120e_10p_25-2_00005_00008,0.8419
output-2878447.o,policy_id: AutoAugmentBasedPopulation_exp_0002_120e_10p_25-2_00004_00000,0.8419
output-2891482.o,policy_id: AutoAugmentBasedPopulation_exp_0002_120e_10p_25-2_00005_00008,0.8419
output-2881234.o,policy_id: AutoAugmentBasedPopulation_exp_0002_120e_10p_25-2_00006_00002,0.8418
output-2874806.o,policy_id: AutoAugmentBasedPopulation_exp_0002_120e_10p_25-2_00000_00002,0.8418
output-2885960.o,policy_id: AutoAugmentBasedPopulation_exp_0002_120e_10p_25-2_00000_00000,0.8418
output-2891479.o,policy_id: AutoAugmentBasedPopulation_exp_0002_120e_10p_25-2_00005_00005,0.8417
output-3654166.o,policy_id: tabu_AutoAugmentBasedPopulation_exp_0001_120e_100ls_25-2_00000_00025,0.8417
output-2875564.o,policy_id: AutoAugmentBasedPopulation_exp_0002_120e_10p_25-2_00001_00003,0.8417
output-2889280.o,policy_id: AutoAugmentBasedPopulation_exp_0002_120e_10p_25-2_00005_00005,0.8417
output-2891976.o,policy_id: AutoAugmentBasedPopulation_exp_0002_120e_10p_25-2_00006_00006,0.8416
output-2884333.o,policy_id: AutoAugmentBasedPopulation_exp_0002_120e_10p_25-2_00000_00006,0.8416
output-2885300.o,policy_id: AutoAugmentBasedPopulation_exp_0002_120e_10p_25-2_00000_00004,0.8415
output-2874805.o,policy_id: AutoAugmentBasedPopulation_exp_0002_120e_10p_25-2_00000_00001,0.8415
output-3653072.o,policy_id: tabu_AutoAugmentBasedPopulation_exp_0001_120e_100ls_25-2_00000_00019,0.8415
output-3634553.o,policy_id: tabu_AutoAugmentBasedPopulation_exp_0001_120e_100ls_25-2_00000_00003,0.8415
output-3665555.o,policy_id: tabu_AutoAugmentBasedPopulation_exp_0001_120e_100ls_25-2_00000_00049,0.8414
output-2884600.o,policy_id: AutoAugmentBasedPopulation_exp_0002_120e_10p_25-2_00000_00006,0.8414
output-2891975.o,policy_id: AutoAugmentBasedPopulation_exp_0002_120e_10p_25-2_00006_00005,0.8413
output-2876541.o,policy_id: AutoAugmentBasedPopulation_exp_0002_120e_10p_25-2_00002_00008,0.8413
output-3654164.o,policy_id: tabu_AutoAugmentBasedPopulation_exp_0001_120e_100ls_25-2_00000_00023,0.8413
output-3658580.o,policy_id: tabu_AutoAugmentBasedPopulation_exp_0001_120e_100ls_25-2_00000_00036,0.8413
output-2881233.o,policy_id: AutoAugmentBasedPopulation_exp_0002_120e_10p_25-2_00006_00001,0.8413
output-3662486.o,policy_id: tabu_AutoAugmentBasedPopulation_exp_0001_120e_100ls_25-2_00000_00039,0.8413
output-2886743.o,policy_id: AutoAugmentBasedPopulation_exp_0002_120e_10p_25-2_00001_00007,0.8412
output-2880940.o,policy_id: AutoAugmentBasedPopulation_exp_0002_120e_10p_25-2_00005_00005,0.8412
output-2885601.o,policy_id: AutoAugmentBasedPopulation_exp_0002_120e_10p_25-2_00000_00002,0.8411
output-2888940.o,policy_id: AutoAugmentBasedPopulation_exp_0002_120e_10p_25-2_00004_00007,0.841
output-2875565.o,policy_id: AutoAugmentBasedPopulation_exp_0002_120e_10p_25-2_00001_00004,0.841
output-2889030.o,policy_id: AutoAugmentBasedPopulation_exp_0002_120e_10p_25-2_00004_00002,0.8409
output-2881628.o,policy_id: AutoAugmentBasedPopulation_exp_0002_120e_10p_25-2_00007_00001,0.8409
output-3663931.o,policy_id: tabu_AutoAugmentBasedPopulation_exp_0001_120e_100ls_25-2_00000_00047,0.8408
output-2874128.o,policy_id: AutoAugmentBasedPopulation_exp_0002_120e_10p_25-2_00000_00004,0.8408
output-2887623.o,policy_id: AutoAugmentBasedPopulation_exp_0002_120e_10p_25-2_00001_00007,0.8407
