0,0.1046,0.0999,0.10056
1,0.1147,0.0883,0.09968
2,0.1514,0.0844,0.10916
3,0.1229,0.0864,0.10029
4,0.1515,0.0907,0.10482
5,0.1123,0.0907,0.09959
6,0.1155,0.0893,0.09973
7,0.1211,0.0871,0.10108
8,0.1012,0.0902,0.09886
9,0.1103,0.0767,0.09668
10,0.1289,0.0652,0.09527
11,0.1068,0.0788,0.09589
12,0.1343,0.0739,0.10363
13,0.1094,0.0974,0.10085
14,0.1095,0.0899,0.09906
15,0.1048,0.0976,0.10074
16,0.1098,0.0858,0.09952
17,0.1104,0.0917,0.10121
18,0.1178,0.0713,0.10009
19,0.1332,0.1,0.10608
20,0.1113,0.1,0.10213
21,0.1012,0.0911,0.09907
22,0.1133,0.0785,0.09614
23,0.1043,0.0862,0.09902
24,0.1144,0.081,0.09759
25,0.1026,0.0394,0.08968
26,0.1063,0.0579,0.0924
27,0.1095,0.0666,0.09531
28,0.1045,0.0827,0.09649
29,0.1006,0.0912,0.09924
30,0.1073,0.084,0.09773
31,0.1208,0.0606,0.09558
32,0.1094,0.0789,0.09972
33,0.1291,0.0933,0.10497
34,0.1216,0.0923,0.10194
35,0.103,0.0909,0.09892
36,0.141,0.0942,0.10609
37,0.1154,0.0882,0.10218
38,0.1105,0.0947,0.10189
39,0.1416,0.0919,0.10565
40,0.124,0.0839,0.10338
41,0.121,0.0747,0.10052
42,0.111,0.0904,0.09907
43,0.1567,0.0893,0.10567
44,0.1166,0.0931,0.1033
45,0.1151,0.0987,0.10321
46,0.11,0.0857,0.09941
47,0.107,0.0935,0.09905
48,0.1099,0.0868,0.10159
49,0.1155,0.0773,0.09971
50,0.1087,0.0923,0.09907
0,0.1094,0.0872,0.097
1,0.1315,0.085,0.10575
2,0.1044,0.08,0.09927
3,0.1188,0.0996,0.1038
4,0.1272,0.0999,0.10417
5,0.1207,0.0916,0.10222
6,0.1116,0.0675,0.10004
0,0.1135,0.089,0.10027
1,0.1711,0.0998,0.12069
2,0.1,0.0811,0.09811
3,0.1168,0.0995,0.1033
4,0.1737,0.0995,0.11258
5,0.1217,0.0993,0.10231
6,0.1056,0.0995,0.10065
